Gene	logFC	FDR
FBgn0034515	2.46472476899599	0.00497663820748604
FBgn0011554	3.17728095419764	0.00512213461295093
FBgn0000276	2.16298967111516	0.00528674535326062
FBgn0030688	1.68632047635582	0.00546313866416462
FBgn0264541	1.82143385767844	0.00579937902593362
FBgn0038009	1.25411111030282	0.00588235130396495
FBgn0037427	1.44208773321206	0.0059265450357167
FBgn0036363	3.54510441661794	0.00622108588962023
FBgn0033153	1.02163853919502	0.00675344799578321
FBgn0033296	4.89433893096318	0.00700559019356066
FBgn0261681	3.13119964759687	0.00762147841770143
FBgn0051446	2.7727742216235	0.00866233517276222
FBgn0266911	1.09440150058515	0.00921578989377501
FBgn0250815	3.54373510205628	0.00929259119917538
FBgn0023197	2.20350047198561	0.00966668219003202
FBgn0051810	1.27016879931145	0.010275026168498
FBgn0028950	4.67686041320421	0.010460874965028
FBgn0266810	2.63448604376464	0.0137915947422631
FBgn0004240	2.04298027902292	0.0139597939574863
FBgn0259237	4.22731703391262	0.0139597939574863
FBgn0030014	1.57376220943573	0.0140728559313698
FBgn0052054	3.83521901880998	0.0151019191283099
FBgn0039472	3.79535642314284	0.0159994839794641
FBgn0036367	1.6114031108089	0.0160935189668131
FBgn0267696	1.41142003529024	0.0169378258603436
FBgn0032638	1.21363912928837	0.0207012439675642
FBgn0054034	1.19163517547308	0.0207608015178822
FBgn0266884	2.01908201578874	0.0220772632976772
FBgn0052072	1.40459655086605	0.0225134214224983
FBgn0085227	3.86521514728343	0.0225134214224983
FBgn0051823	1.75054702005184	0.0236000706616161
FBgn0085223	2.41670930713095	0.0286464183166473
FBgn0034662	3.56708155530254	0.0313847167773682
FBgn0010423	2.29556988906525	0.0321953392660342
FBgn0000071	1.01247519330497	0.0327173634528174
FBgn0038207	1.14638562822832	0.0345989504864178
FBgn0031033	5.04066675257819	0.0390585434734802
FBgn0030904	1.50830164692137	0.0401388841154172
FBgn0263081	3.54637348037929	0.0413110734209247
FBgn0039038	1.31830103719779	0.0439401593373387
FBgn0034328	1.02100028641951	0.0440712763015599
FBgn0002569	2.60381730773507	0.0449893478140703
FBgn0004389	4.63127339118787	0.0490810467922229
